#Specis,leaf,branch,stem,coarseRoot,fineRoot,raumdichte
PiAb,PiAb,PiAb,PiAb,,,362,#Picea abies
AbAl,PiAb,PiAb,AbAl,,,361,#Abies alba
LaDe,LaDe,LaDe,LaDe,,,477,#Larix decidua
PiSy,PiSy,PiSy,PiSy,,,450,#Pinus sylvestris
PiNi,PiSy,PiSy,PiNi,,,494,#Pinus nigra
PiCe,PiSy,PiSy,PiCe,,,364,#Pinus cembra
PiSt,PiSy,PiSy,PiSy,,,337,#Pinus Strobus
PsMe,PiAb,PiAb,PiAb,,,414,#Pseudotsuga menziesii
Coni,PiAb,PiAb,PiAb,,,362,#Coniferous
PicX,PiAb,PiAb,PiAb,,,362,#Picea
AbiX,PiAb,PiAb,AbAl,,,361,#Abies
LarX,LaDe,LaDe,LaDe,,,477,#Larix
PinX,PiSy,PiSy,PiSy,,,450,#Pinus
PiMu,PiSy,PiSy,PiSy,,,450,#Pinus mugo
TaBa,PiAb,PiAb,AbAl,,,584,#Taxus bacata
FaSy,FaSy,FaSy,FaSy,,,561,#Fagus sylavtica
QerX,QueX,QueX,QerX,,,579,#Quercus
CaBe,FaSy,CaBe,CaBe,,,609,#Carpinus betulus
FraX,QueX,FraX,FraX,,,582,#Fraxinus
AceX,FaSy,BrHX,AceX,,,521,#Acer
UlmX,FaSy,BrHX,UlmX,,,558,#Ulmus
CaSa,QueX,BrHX,FaSy,,,496,#Castanea sative
RoPs,QueX,BrHX,CaBe,,,644,#Robinia pseudoacacia
SorX,QueX,BrHX,CaBe,,,505,#Sorbus
PruX,FaSy,BrHX,CaBe,,,491,#Prunus
PrAv,FaSy,BrHX,FraX,,,491,#Prunus avium
SoTo,QueX,BrHX,FraX,,,588,#Sorbus tormuinalis
SoAu,QueX,BrHX,FraX,,,505,#Sorbus aucuparia
BetX,QueX,BrHX,BetX,,,551,#Betula
AlGl,FaSy,BrSX,AlGl,,,424,#Alnus glutinosa
AlIn,QueX,BrSX,AlGl,,,424,#Alnus incana
TilX,FaSy,BrSX,AceX,,,444,#Tilia
PoTr,QueX,PopX,PopX,,,396,#Populus tremula
PoAl,QueX,PopX,PopX,,,359,#Populus alba
PoNi,FaSy,PopX,PoNi,,,359,#Populus nigra
PopX,FaSy,PopX,PopX,,,359,#Populus
SalX,QueX,BrSX,PalX,,,470,#Salix
BroX,FaSy,BrHX,FaSy,,,561,#Broadleaved
BrHX,FaSy,BrHX,FaSy,,,561,#Broadleaved Hardbwood
JuRe,QueX,BrHX,QueX,,,552,#Juglans regia
JuNi,QueX,BrHX,QueX,,,489,#Juglans nigra
OstX,QueX,BrHX,CaBa,,,609,#Ostrya
MalX,QueX,BrHX,QueX,,,599,#Malus
PyrX,QueX,BrHX,QueX,,,599,#Pyrus
BrSX,QueX,BrSX,PopX,,,470,#Broadleaved Softwood
BusX,QueX,BrHX,CaBe,,,561,#Bushes
AlVi,QueX,BrSX,CaBe,,,424,#Alnus viridis
